room_id,标题,主播,人气,分类
21291747,甜甜圈回来了，乐子又有了,回国种地的小陈,18349,未知分类
1808575739,首次开播，请多关照！,啵啵在抗癌,1795,未知分类
1808570124,05 前台 非混血,绿茶女友妤妤,1691,未知分类
21670272,独牙传奇中式九球国际巡回赛,台球大侦探,1471,未知分类
1336199,听歌,早饭饭饭饭,761,未知分类
3805280,看会复古烹饪,美食厅,435,未知分类
25747448,农家美食辣椒酱，地道湖南味道,干饭兄弟-官方账号,426,未知分类
27818975,俄罗斯人不骗中国人，正品俄货,俄罗斯联邦馆nice,423,未知分类
25689361,天水大樱桃上市啦！,西北小刘返乡创业记,186,未知分类
2694675,谁在打我,A3DBee,89,未知分类
879138,拆卡,是天依也是阿绫,79,未知分类
4703855,独狼行动，但寄术主播,吃罗非的加菲喵,42,未知分类
6531460,品鉴龙之信条初代。。。哦伊细。。。,羊城海鲜团,24,未知分类
22346551,【面包店物语】,幻神雨易,21,未知分类
30044554,俄罗斯最后的单纯，正品俄货,俄罗斯食品馆,20,未知分类
22685818,伟龙小饼干限时优惠6折大促,伟龙零食俱乐部,19,未知分类
1991386907,胡麻饼狂欢！一口就爱上,食家巷传统面点,16,未知分类
1922173746,z,kitusS丶,14,未知分类
1791358315,好多人呀,云霄小清,14,未知分类
1949989967,首次开播，请多关照！,小李抗癌夫妻,13,未知分类
1791352451,在南京,肥美小姨子,12,未知分类
30129063,俄罗斯好物推荐官上线啦！,俄罗斯AKKOND进口馆,11,未知分类
